ability;способность
able;знающий
about;кругом
above;наверху
absolutely;совершенно
accept;принимать
acceptable;приемлемый
accident;авария
accidental;случайный
accommodation;помещение
account;счет
achieve;добиваться
achievement;достижение
across;поперек
act;действовать
action;действие
active;активный
activity;деятельность
actual;фактический
actually;фактически
add;прибавлять
address;адрес
admire;любоваться
admit;допускать
advanced;передовой
advantage;преимущество
advice;совет
advise;советовать
affect;воздействовать
afraid;испуганный
after;после
afterwards;впоследствии
again;еще
age;возраст
agree;соглашаться
agreement;согласие
ahead;вперед
aim;цель
air;воздух
alive;живой
all;весь
allow;позволять
almost;почти
alone;единственный
along;вдоль
already;уже
also;тоже
although;хотя
always;всегда
among;между
amount;величина
angry;рассерженный
announce;объявлять
another;другой
answer;ответ
anxious;озабоченный
any;любой
anything;ничего
apparently;очевидно
appeal;призыв
appear;показываться
appearance;внешность
apply;обращаться
approval;одобрение
approve;одобрять
area;площадь
argue;спорить
argument;довод
arm;рука
around;всюду
arrangement;размещение
arrival;прибытие
art;искусство
artificial;искусственный
ashamed;пристыженный
ask;спрашивать
attach;прикреплять
attempt;попытка
attention;внимание
attitude;позиция
attract;привлекать
attractive;заманчивый
authority;власть
autumn;осень
available;доступный
average;среднее
avoid;избегать
aware;знающий
away;прочь
back;спина
backwards;назад
bad;плохой
badly;плохо
bag;сумка
balance;весы
ball;шар
band;оркестр
bang;удар
bank;банк
bar;бар
base;база
basis;базис
bath;ванна
battery;батарея
be;быть
bear;терпеть
beat;бить
beautiful;красивый
become;становиться
before;перед
begin;начинать
beginning;начало
behaviour;поведение
behind;сзади
behind;задний
belief;вера
believe;верить
belong;принадлежать
below;ниже
bend;сгибать
beneath;под
benefit;выгода
best;лучший
bet;пари
better;лучший
between;между
big;большой
bill;счет
bin;ящик
birth;рождение
bit;кусочек
bite;укус
black;черный
blame;упрек
blame;осуждать
blind;слепой
block;блок
blow;веять
blue;голубой
board;доска
boat;лодка
body;тело
boil;варить
book;книга
border;граница
bored;скучающий
boring;скучный
born;родившийся
borrow;одалживать
both;оба
bother;беспокоиться
bottom;низ
bound;связанный
brain;мозг
branch;ветвь
brave;смелый
bread;хлеб
break;перерыв
break;ломать
breakfast;завтрак
breath;дыхание
breathe;дышать
bridge;мост
brief;короткий
bright;яркий
bring;приносить
broad;широкий
broken;разбитый
brother;брат
brown;коричневый
brush;щетка
build;строить
building;здание
bunch;связка
burn;гореть
burst;лопаться
bury;хоронить
bus;автобус
bush;куст
business;дело
busy;занятой
butter;масло
buy;покупать
call;кричать
calm;спокойный
calmly;спокойно
can;мочь
cap;кепка
capital;столица
car;автомобиль
card;карточка
care;забота
care;заботиться
careful;осторожный
careless;беззаботный
carry;носить
case;случай
catch;ловить
cause;причина
centimetre;сантиметр
central;центральный
centre;центр
century;столетие
certain;определенный
certainly;конечно
challenge;проблема
chance;возможность
change;перемена
change;менять
character;характер
charge;цена
chase;гнаться
chat;беседовать
cheap;дешевый
cheat;обманывать
check;проверка
cheek;щека
cheque;чек
chief;главный
child;ребенок
children;дети
chin;подбородок
choice;выбор
choose;выбирать
church;церковь
cinema;кинотеатр
circle;круг
circumstance;обстоятельство
city;город
claim;требование
claim;требовать
class;класс
classroom;аудитория
clean;чистый
clear;чистый
clearly;ясно
clever;умный
climb;карапкаться
close;закрывать
closely;близко
clothes;одежда
club;клуб
clue;ключ
coat;пальто
coffee;кофе
cold;холодный
collect;собирать
collection;коллекция
colour;цвет
combination;сочетание
combine;соединяться
come;приходить
comfort;комфорт
comfortable;комфортный
command;команда
comment;комментарий
comment;комментировать
commit;совершать
common;общее
communicate;сообщать
communication;коммуникация
community;сообщество
company;компания
compare;сравнивать
compete;состязаться
complain;жаловаться
complaint;жалоба
complete;полный
completely;вполне
complicated;запутанный
computer;компьютер
concentrate;сосредоточивать
concentration;концентрация
concern;отношение
concerned;заинтересованный
concerning;касательно
conclusion;умозаключение
condition;условие
